AcresTotal,Age,AgentIDX,AgentStatus,AnnualExpenses,AssociationFee,AVMYN,BathsHalf,BathsTotal,Bedrooms,City,CommunityAmenities,CompassSuffix,County,DisplayFlagAddress,DisplayFlagListing,ElementarySchool,EquipAndAppliances,FloodPlainYNU,Furnishings,HeatingAndCooling,HighSchool,HOACOAYN,LeaseYN,LegalDescription,LenderOwnedYN,ListAgentAgentID,ListAgentOfficeID,ListDate,ListingAgentID,ListingAgentName,ListingArea,ListingBoardID,ListingFirmID,ListingID,ListingStatus,ListPrice,MiddleSchool,ModificationTimestamp,MonthlyDuesDol,NetIncome,OccupancyDesc,OfficeIDX,OfficeStatus,OwnerAgentYN,PhotoCount,PhotoModificationTimestamp,PoolAndPoolExtras,PoolPresent,PostalCode,PropertySubType,PropertyType,PublicRemarks,RearExposureCode,RentIncludes,Rooms,ShortSaleYN,ShowingInstructions,SqFtTotal,StreetDirPrefix,StreetName,StreetNumber,Subdivision,TaxAmount,TaxSectionCode,TaxTownship,TaxYear,TotalUnits,VarDualRateCommYN,VirtualTourYN,VOWAVMYN,VOWCommentsYN,WaterAndSewer,Waterfront,WaterFrontage,WaterFrontPresent,YearBuilt,Zoning
0,,Yes,"- Active",,,No,1,2,3,Homosassa,"Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"SEE ALTKEY 2158859",No,2755059033265,275505903,2012-10-22,3265,,22,2755,059,358424,Active,1500,"Other Middle",2013-03-18T13:42:09,,,,Yes,"- Active",No,16,2012-11-12T14:42:31,"Other-See Remarks",Yes,34446,,Rental,"TENANT OCCUPIED THROUGH 04/30/2013. Fully furnished pool home with lots to offer at an incredible price!  3 large bedrooms fully furnished with King in master and King in guest.  Other bedroom offers a Queen size bed!  Tastefully decorated with comfort in mind. The longer the stay the cheaper the rent so call it home today!  Seasonal rates include all utilities.  Pets welcome at owners discretion.  ",,"Other-See Remarks","Other-See Remarks",No,"Other-See Remarks",1873,,"BLAIR CT",4,"Sugarmill Woods",,,,,,,No,No,No,"Other - See Remarks",,,No,1987,
.25,,Yes,"- Active",,,No,0,2,3,Inglis,"Boat Ramp",,,,Yes,,"Cooktop-Electric,Refrigerator",,Unfurnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"03-17-17 RIVERLAKE ESTATES BLK A LOT 4 OR BOOK 1143 PAGE 470",No,275526831685,27552683,2013-05-20,1685,,25,2755,268,703120,Active,675,Yankeetown,2013-05-22T20:54:21,,,,Yes,"- Active",No,8,2013-05-22T20:54:21,,No,34449,,Rental,"Wonderful manufactured home in move in condition  Across the street from Lake Roussea with a wonderful view of the lake from the home.  Excellent fishing and wildlife abounds.  Partially furnished.  Huge kitchen with lots of storage.  Screened porch and deck on back of home.  Easy access to Dunnellon, Inglis, Crystal River, Ocala, restaurants, shopping, hospital and more.",,None,"Kitchen,Living Room,Master Bedroom Suite",No,"Call Office/Agent",1404,SE,"203rd Place",11449,"Graceland Shores",,,,,,,No,Yes,Yes,"Septic - Private,Well - Private",,,No,1999,
.22,,Yes,"- Active",,,No,0,1,2,Inverness,"Other-See Remarks",,,,Yes,,"Ceiling Fan(s),Cooktop-Electric,Dryer,Garage Door Opener(s),Oven-Built In,Refrigerator,Washer",,Unfurnished,"Cool-Central Electric,Heat-Central Electric",,No,Yes,"INVERNESS HGLDS WEST PB 5 PG 19 LOT 6 BLK 316",No,27553340993,27553340,2013-06-11,993,,06,2755,334,703437,Active,8100,Inverness,2013-06-11T14:06:56,,,,Yes,"- Active",No,4,2013-06-11T14:06:56,,No,34452,,Rental,"Perfect little house. Like new on the inside. Owner spared no expense and replace, carpet, paint, fans in every room, light fixtures, 110 outlets, switches. fenced yard. Garage and storage shed.  Extra clean!",,Water,"Florida Room,Kitchen",No,"Coded Lockbox,Vacant",926,S,Diamond,3415,"Inverness Highlands West",,,,,,,No,Yes,Yes,"Septic - Private,Well - Private",,,No,1971,
.36,,Yes,"- Active",,,No,0,2,3,Yankeetown,"Boat Dock,Boat Ramp,Gazebo,Shuffleboard",,,,Yes,,"Ceiling Fan(s),Dryer,Microwave,Oven-Electric,Refrigerator,Washer",,Furnished,"Cool-Central Electric,Heat-Central Electric",,No,No," 05-17-16 YANKEETOWN BLK 4 LOTS 12 & 13 OR BOOK 1005 PAGE 808",No,275526831685,27552683,2013-06-10,1685,,25,2755,268,703482,Active,1500,Yankeetown,2013-06-12T20:38:07,,,,Yes,"- Active",No,4,2013-06-12T20:38:03,,No,34498,,Rental,"  WATERFRONT, DEEP WATER WITH GULF ACCESS!! No expense spared in 2010 on the complete remodeling of this lovely waterfront home on the Withlacoochee River in Yankeetown. Beautiful hickory wood floors, granite countertops, energy efficient argon windows throughout home and much more. A wonderful stone fence leads to this charming home located on the desirable tree lined divided Riverside Dr. Enjoy sitting on the dock and watching the tarpon, snook, redfish, & manatee. Tie your deep water boat up at your dock or tie your inboard up with whip lines in your private basin.",,None,"Dining Room,Family Room,Kitchen",No,"Call Office/Agent,Key at Office",1476,,"Riverside Drive",6101,Riverside,,,,,,,No,Yes,Yes,"Septic - Private,Water - City","Boat Dock,Gulf Access,Riverfront,Sail Boat Access",100,Yes,1940,
.45,,Yes,"- Active",,,No,0,2,3,Inverness,"Bike Path,Clubhouse,Golf Course,Pro Shop,Putting Green,Restaurant",,,,Yes,,"Cooktop-Electric,Dishwasher,Disposal,Dryer,Garage Door Opener(s),Microwave,Oven/Range-Elec,Refrigerator,Smoke Detector(s),Washer",,"Furnished,Turnkey,Unfurnished","Cool-Central Electric,Heat-Central Electric",,No,Yes,"Connell Lake Estates PHASE II PB 14 PG 113 Lot 243",No,275532201861,27553220,2013-05-21,1861,,01,2755,322,703180,Active,1100,Inverness,2013-05-27T13:04:00,,,,Yes,"- Active",No,18,2013-05-27T13:04:00,"Heated-Solar,In Ground Pool",Yes,34453,,Rental,"Open concept fully furnished or unfurnished home in Lakeside Golf & Country Club in Inverness, Florida. 18-holes golf course, Bar & Bistro on premises, clubhouse, pro-shop available. Featuring 3 bedrooms, 2 bathrooms, large open floorplan, master & one guestroom access to heated and screened-in pool. 2 car garage. Pool care included, lawn, utilities, Brighthouse and trash excluded.",,"Pest Control,Pool Care","Breakfast Nook,Inside Laundry Rm,Kitchen,L Shaped Liv/Dining Room,Master Bedroom Suite",No,"Call Office/Agent,Coded Lockbox,Other-See Remarks",1584,N,"Timucuan Trail",1210,"Connell Lake Estates",,,,,,,No,No,No,"Septic - Private,Water - City",,,No,1999,
0,,Yes,"- Active",,,No,0,2,2,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"THE BAY VILLAS BLDG 32, 33, 34, 35 & 36 CONDO OR BK 343PG638 UNIT 185",No,27552790502,27552790,2013-06-01,502,,17,2755,279,703357,Active,1800,"Crystal River",2013-06-05T19:21:44,,,,Yes,"- Active",No,8,2013-06-05T19:15:04,"Other-See Remarks",No,34429,,Rental,"Adorable 2 bed 2 bath condo in The Islands. Fully furnished and ready to go! Nicely furnished and features an enclosed Florida room with tile floors and large T.V. Beautiful canal backs right up to your patio with sliding doors to enjoy the view! Community is quiet and features a pool, tennis courts, and lovely landscaping. Deed restrictions apply. No pick-ups with tool boxes and no motorcycles allowed. Call us today to see!",,"Other-See Remarks","Other-See Remarks",No,"Call Property Manager",1792,,Kingfisher,11596,"Bay Villas",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1973,
.14,,Yes,"- Active",,,No,0,1,4,Dunnellon,None,,,,Yes,,"Ceiling Fan(s),Oven-Electric,Refrigerator,Smoke Detector(s)",,Unfurnished,"Cool-Central Electric,Heat-Heat Pump",,No,No,"DUNNELLON LOT 1095 PB A PG 174",No,275524705063,27552470,2013-06-03,5063,,28,2755,247,703362,Active,750,Dunnellon,2013-06-05T20:14:07,,,,Yes,"- Active",No,14,2013-06-05T20:12:55,,No,34432,,Rental,"4 BEDROOM 1 BATH HOME HAS A 1 CAR CARPORT, OUTSIDE LAUNDRY/STORAGE ROOM AND IS LOCATED IN DOWNTOWN DUNNELLON. HOME IS 3 HOUSES AWAY FROM ERNIE MILLS PARK. GREAT LOCATION FOR A FAMILY!",,None,"Kitchen,Living Room",No,"Call Office/Agent",1144,,"BOSTICK STREET",11863,"Not in Subdivision",,,,,,,No,No,No,"Sewer - City,Water - City",,,No,1967,
.3,,Yes,"- Active",,,No,0,2,2,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,Yes,,"CEDAR LAKE ESTS PB 11 PG 130 LOT 6 & LOT 7 BLK A",No,27552790502,27552790,2013-06-01,502,,12,2755,279,703445,Active,1350,"Crystal River",2013-06-11T18:35:09,,,,Yes,"- Active",No,10,2013-06-11T18:18:54,"Other-See Remarks",No,34429,,Rental,"This spacious 2/2/2 home is located in the lovely community of Cedar Lake Estates, just minutes from the power plant and Seven Rivers Hospital. The home has a fresh coat of paint, tiled floor, is mostly furnished and ready for a renter. There is also a full house generator, sprinkler system, and workshop. The acre property is fenced for pets.",,"Other-See Remarks","Other-See Remarks",No,"Call Office/Agent",2099,N,Brookgreen,5931,"Cedar Lake Est.",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,No,1984,
.05,,Yes,"- Active",,,No,0,2,2,"Crystal River","Clubhouse,Community Pool",,,,Yes,,"Ceiling Fan(s),Dishwasher,Dryer,Microwave Hood,Oven/Range-Elec,Refrigerator,Washer",,Furnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"PELICAN COVE II CONDO DECL IN OR BK 887 PGS 551 & 605 PHASE THREE UNIT 131",No,27550840684,27550840,2013-06-12,684,,15,2755,084,703468,Active,1200,"Crystal River",2013-06-12T17:11:53,,,,Yes,"- Active",No,11,2013-06-12T17:06:26,,No,34428,,Rental,"Check out this waterfront villa in Crystal River!!Great views from the screened lanai, has a nice dock for your boat, plus it's fully furnished. Conveniently located near shopping, 7 Rivers Hospital & Duke Energy Plant.",,"Garbage,Lawn Care,Repair/Maintenance","Dining Room,Great Room,Kitchen,Living Room,Master Bedroom Suite",No,"Appointment Only,Call Property Manager,Key at Office",1427,W,"Cove Harbor",11222,"Pelican Cove",,,,,,,No,No,No,"Sewer - City,Water - City","Boat Dock,Gulf Access",,Yes,1994,
.3,,Yes,"- Active",,,No,1,2,3,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"PRETTY SPGS UNIT 2 PB 7 PG 19 LOT 73 & S1/2 OF LOT 74",No,27552790502,27552790,2013-06-01,502,,12,2755,279,703452,Active,2300,"Crystal River",2013-06-11T19:14:04,,,,Yes,"- Active",No,9,2013-06-11T19:14:04,"Other-See Remarks",No,34429,,Rental,"lEASED AT THIS TIME",,"Other-See Remarks","Other-See Remarks",No,"Tenant Occupied",3572,SE," 5TH",1020,"Pretty Springs",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1975,
.3,,Yes,"- Active",,,No,0,2,3,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,Yes,,"ARBOR CT 1ST ADD PB 12 PG 144 LOT 20",No,27552790502,27552790,2013-06-01,502,,23,2755,279,703466,Active,1400,Lecanto,2013-06-12T15:48:21,,,,Yes,"- Active",No,7,2013-06-12T15:48:21,"Other-See Remarks",No,34429,,Rental,"This 3 bedroom 2 bath villa-style home with one-car garage is located in beautiful Meadowcrest. Very peaceful area with 2 community pools, hiking/biking/walking trails and tennis court. Come and visit the nature coast at its best. Villa means this house is attached by the garage to another house.",,"Other-See Remarks","Other-See Remarks",No,"Call Office/Agent",2251,W,"Bromley Circle",6015,"Arbor Court",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,No,1986,
.3,,Yes,"- Active",,,No,0,2,2,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"WOODLAND ESTS UNIT 2A LOT 13 BLK 15 DESC IN OR BK 750 PG 2136",No,27552790502,27552790,2013-06-05,502,,16,2755,279,703363,Active,1800,"Crystal River",2013-06-05T20:46:42,,,,Yes,"- Active",No,,,"Other-See Remarks",No,34429,,Rental,"Amazing custom waterfront home in sought after Woodland Estates. Kick back & enjoy the custom stonework, private dock & game room with gorgeous Florida decor. Sit in the large screened porch and watch manatee frolic in the water. Dock your boat at the newer 52 ft. dock with fish cleaning table. Approx. 15 minutes to the Gulf of Mexico (no bridges) by boat to some of the best salt water fishing on the coast. Many restaurants and night life available by boat access. Price includes utilities with cap on electric. Unavailable July, August, February and March.",,"Other-See Remarks","Other-See Remarks",No,"Call Office/Agent",1160,NW,"NW 20th",1620,"Woodland Est.",,,,,,,No,No,No,"Other - See Remarks",,,Yes,1962,
.01,,Yes,"- Active",,,No,0,1,0,Dunnellon,"BBQ Area,Boat Dock,Hot Tub/Spa,Kitchen,Laundry-In Complex,Community Pool",,,,Yes,,"Disposal,Microwave,Oven-Electric,Refrigerator,Smoke Detector(s)",,Partially,"Cool-Central Electric,Heat-Central Gas",,No,No,"THE LANDINGS OF THE WITHLACOOCHEE A CONDOMINIUM PHASE II UNIT B-18",No,275524705063,27552470,2013-06-04,5063,,28,2755,247,703371,Active,600,Dunnellon,2013-06-06T15:23:20,,,,Yes,"- Active",No,15,2013-06-06T15:22:34,"In Ground Pool,In-Ground Spa",No,34431,,Rental,"STUDIO/CONDO ON THE BEAUTIFUL WITHLACOOCHEE RIVER. STUDIO IS PARTIALLY FURNISHED INCLUDING A MURPHY BED, DRESSER, TABLE, ETC. BEAUTIFUL VIEWS AND LOTS OF AMENITIES MAKE THIS THE PERFECT PLACE TO LIVE.",,"Lawn Care,Pool Care,Repair/Maintenance,Sewer,Water",Kitchen,No,"Appointment Only,Call Office/Agent,Call Property Manager,Key at Office",360,,"RIVER DR #B-18",20820,"Not in Subdivision",,,,,,,No,No,No,"Sewer - City,Water - City","Boat Dock,Boat Slip,Deck,Direct Access,River Access,River View,Riverfront",,Yes,1986,
.3,,Yes,"- Active",,,No,0,2,2,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"DIXIE SHORES UNIT 1 REPLAT PB 5 PG 8 LOT 94",No,27552790502,27552790,2013-06-01,502,,17,2755,279,703470,Active,1800,"Crystal River",2013-06-12T17:52:22,,,,Yes,"- Active",No,12,2013-06-12T17:52:22,"Other-See Remarks",Yes,34429,,Rental,"2 bedroom, 2 bath WATERFRONT home!  with several amenities. These include: Bikes for exploring the trails and roads nearby, 2 separate living areas, a 2 car garage, 42 inch high HD screened in pool, floating dock, boat lift, fire pit, fish cleaning table, king sized bed in master bedroom, close to beach, and much more!  Conveniently located on island close to fishing, diving, restaurants and shopping. Price is $1,800 per month, which includes utilities with a cap on the electric. Call to see today! This home can be rented",,"Other-See Remarks","Other-See Remarks",No,"Call Office/Agent",2984,W,Sunnybrook,11810,"Dixie Shores",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1981,
.11,,Yes,"- Active",,,No,0,2,2,Homosassa,None,,,,Yes,,"Ceiling Fan(s),Dishwasher",,Furnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"TWIN RIVER ESTS UNREC SUB TRACT 14 & PT OF LOT 22 FURTHER DE SC IN OR BK 1092 PG 136",No,275526831685,27552683,2013-05-15,1685,,24,2755,268,703008,Active,1350,Lecanto,2013-05-22T19:32:23,,,,Yes,"- Active",No,1,2013-05-16T20:46:40,,No,34448,,Rental,"This adorable cottage is perfect for enjoying the beautiful Homosassa River.  Gorgeous view of the river from the home. Enjoy swimming, kayaking and more, right off the dock.  Fully furnished, all you need is your tooth brush and your clothes. Close to restaurants, shopping, scalloping and fishing in the Gulf. Don't delay, this home rents quickly.",,None,"Kitchen,Living Room",No,"Call Office/Agent,Key at Office",957,S,"Capecove Loop",4421,"Twin River Est.",,,,,,,No,Yes,Yes,"Sewer - City,Water - City",Riverfront,,Yes,1980,
.42,,Yes,"- Active",,,No,0,2,4,Inverness,"Clubhouse,Golf Course,Hot Tub/Spa,Pro Shop,Putting Green,Restaurant",,,,Yes,,"Cooktop-Electric,Dishwasher,Disposal,Dryer,Garage Door Opener(s),Microwave,Microwave Hood,Oven/Range-Elec,Refrigerator,Smoke Detector(s),Washer",,"Furnished,Unfurnished","Cool-Central Electric,Heat-Central Electric",,No,Yes,"Connell Lake Estates PHASE II PB 14 PG 113 LOT 119",No,275532201861,27553220,2013-05-19,1861,,01,2755,322,703045,Active,1100,Inverness,2013-05-27T13:06:57,,,,Yes,"- Active",No,19,2013-05-19T14:08:27,"Heated-Solar,Hot Tub",Yes,34453,,Rental,"Enjoy the view on the golf course from your lanai, pool of Jacuzzi! Located in Connell Lake Estates, aka Lakeside Golf & Country Club. Furnished/unfurnished. Large kitchen & breakfast bar, little area for dinette, and separate dining area. Family room with beautiful view on the pool and the golf course. Master with walk-in, sliders to the pool. Larger guest bath for the 3 bedrooms on the other side. Well maintained! 18-holes golf course, clubhouse, restaurant, bike trail parallel of the 41. Shopping is close. Tampa and Orlando 90 miles. Seasonal (6 months and up) or long term.",,"Lawn Care,Pest Control,Pool Care","Breakfast Nook,Dining Room,Inside Laundry Rm,Living Room",No,"24 Hr Notice,Appointment Only,Call Office/Agent,Call Property Manager,Coded Lockbox",1574,N,"Timucuan Trail",1277,"Connell Lake Estates",,,,,,,No,No,No,"Irrigation - Metered,Septic - Private,Water - Other",,,No,2002,
.25,,Yes,"- Active",,,No,0,3,4,Inglis,"Bike Path",,,,Yes,,"Dishwasher,Dryer,Garage Door Opener(s),Laundry Tub,Oven/Range-Elec,Refrigerator,Smoke Detector(s),Washer,Water Filter",,Unfurnished,"Cool-Central Electric,Heat-Central Electric",,No,,"SEC: 02,  TWP: 17,  RNG: 16,  02-17-16 PALM POINT BLK D LOT 21 AND A PORTION OF RIVER TRAIL DRIVE ADJOING & LYING ADJACENT TO NE SIDE OF THE ABOVE LOT",No,275526831685,27552683,2013-05-15,1685,,25,2755,268,703119,Active,1295,Yankeetown,2013-05-22T20:50:26,,,,Yes,"- Active",No,10,2013-05-22T20:50:26,"In Ground Pool,Screen Enclosed",Yes,34449,,Rental,"Gorgeous 4 bedroom 3 bath pool home on the Withlacoochee River.  Gulf access, ( you do have a bridge to go under ) Move in ready, partially furnished.  Spacious kitchen with great room overlooking pool and river.  Master bedroom on first floor, 3 bedrooms and a bath upstairs.  Located in the desireable subdivision of Palm Point.  Convenient to Inglis, Crystal River, Dunnellon.  Dining close by. Ideal for the fisherman or wildlife enthusiasts.  Tarpon, redfish, trout, snook, manatee, dolphin, Eagles, osprey, sand hill cranes and more.",,None,"Bonus,Breakfast Nook,Den/Office,Inside Laundry Rm,Kitchen,Living Room,Master Bedroom Suite",No,"Call Office/Agent,Key at Office",2510,,"Rivertrail Dr",30,"Palm Point",,,,,,,No,Yes,Yes,"Septic - Private","Boat Dock,Gulf Access,Riverfront",100,Yes,1983,
.23,,Yes,"- Active",,,No,0,2,0,"Crystal River",Storage,,,,Yes,,"Ceiling Fan(s),No Appliances,Security System",,Unfurnished,"Cool-Central Electric,Heat-Heat Pump",,No,No,"CRYSTAL CITY ADD TO CRYSTAL RIVER PB 1 PG 25 LOT 4 BLK 8",No,275556603591,27555660,2013-05-30,3591,,16,2755,566,703220,Active,850,"Crystal River",2013-06-11T11:02:41,,,,Yes,"- Active",Yes,2,2013-05-30T12:50:55,,No,34429,,Rental,"Remodeled Building located in the CRA Historic district 1 block off of Citrus Ave. Zoned Commercial (CG) & in the Central Business District. Plenty of parking with additional parking in the City Parking Lot behind building. Currently set up as a professional office but zoning allows for many uses.",,None,Den/Office,No,"24 Hr Notice,Alarm",1031,NE,4th,36,Unrecorded,,,,,,,No,No,No,"Sewer - City,Water - City",,,No,1974,
.23,,Yes,"- Active",,,No,1,2,4,Dunnellon,"Bike Path,Community Center,Tennis Court(s)",,,,Yes,,"Ceiling Fan(s),Dishwasher,Disposal,Garage Door Opener(s),Garden Tub,Oven/Range-Elec,Range Hood,Refrigerator,Smoke Detector(s)",,Unfurnished,"Cool-Central Electric,Heat-Central Electric",,No,No,"CITRUS SPGS UNIT 3 PB 5 PG 116 LOT 13 BLK 209",No,275524705063,27552470,2013-06-07,5063,,13,2755,247,703413,Active,1050,"Citrus Springs",2013-06-10T15:28:24,,,,Yes,"- Active",No,23,2013-06-10T14:36:20,,No,34434,,Rental,"BEAUTIFUL HOME HAS LOTS TO OFFER. 4 BEDROOM, 2 1/2 BATH, MASTER BEDROOM HAS 2 WALK-IN CLOSETS. HOME HAS 4 LINEN CLOSETS AND AN INSIDE LAUNDRY. THIS HOME IS A MSUT SEE!",,None,"Dining Room,Family Room,Inside Laundry Rm,Kitchen,Living Room,Master Bedroom Suite",No,"Call Property Manager,Coded Lockbox,Key at Office",3254,W,"SUMMER PLACE",2421,"Citrus Springs",,,,,,,No,No,No,"Septic - Community,Water - City",,,No,2008,
0,,Yes,"- Active",,,No,0,2,2,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"WOODWARD PARK PB 2 PG 70 LOT 6 BLK E",No,27552790502,27552790,2013-06-01,502,,16,2755,279,703443,Active,1800,"Crystal River",2013-06-11T17:48:11,,,,Yes,"- Active",No,12,2013-06-11T17:37:26,"Other-See Remarks",No,34429,,Rental,"This immaculate 2 bedroom, 2 bath, 2 car garage home with screened lanai sits on a Gorgeous spring-fed lagoon on King's Bay adjacent to the famous King Spring. Direct gulf access with fresh water boat slip and dock. Quiet area of King's Bay with open water view. Watch the manatees and dolphin from the master bedroom! One half mile to shopping and downtown. Recently updated and newly furnished, ceramic tile throughout. Monthly, weekly and nightly rates available.",,"Other-See Remarks","Other-See Remarks",No,"Call Office/Agent,Other-See Remarks",1924,N,Circle,1074,"Woodlward Park",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1975,
.3,,Yes,"- Active",,,No,0,6,4,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,Yes,,"PARADISE CTRY CLUB UNIT 3 PG 4 PG 43 LOTS 4 & 5 BLK C",No,27552790502,27552790,2013-06-01,502,,12,2755,279,703450,Active,3600,"Crystal River",2013-06-11T18:50:38,,,,Yes,"- Active",No,,,"Other-See Remarks",Yes,34429,,Rental,"Leased at this time",,"Other-See Remarks","Other-See Remarks",No,"Tenant Occupied",8467,,"Harbour Isle",9244,"Paradise Country Club",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1970,
.3,,Yes,"- Active",,,No,1,2,4,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,Yes,,"SPRINGDALE ADD TO SPGS O PARADISE LOT 34 DESC IN OR BK 680 PG 902",No,27552790502,27552790,2013-06-01,502,,12,2755,279,703453,Active,2000,"Crystal River",2013-06-12T20:20:18,,,,Yes,"- Active",No,10,2013-06-11T20:00:28,"Other-See Remarks",No,34429,,Rental,"Leased at this time Lovely four bedroom house on a very nice deep water canal. This home is fully furnished, huge family room, dining room, and a living room that overlooks the canal. Bring your boat and fishing gear, even your golf clubs. Crystal River offers plenty of activities, both on and around the water. Call for details 352-795-0782",,"Other-See Remarks","Other-See Remarks",No,"Tenant Occupied",3883,SE,"kings bay",222,Springdale,,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1972,
.3,,Yes,"- Active",,,No,0,2,3,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"DIXIE SHORES UNIT 1 REPLAT PB 5 PG 8 LOT 146",No,27552790502,27552790,2013-06-01,502,,17,2755,279,703471,Active,2000,"Crystal River",2013-06-12T18:05:00,,,,Yes,"- Active",No,14,2013-06-12T18:05:00,"Other-See Remarks",Yes,34429,,Rental,"This is a lovely private home that has 3 bedrooms and 2 full baths There is an in-ground pool, screened lanai area and a dock for your boat. Sit in the Florida room and watch the dolphins play in your backyard! Price includes trash, sewer, cable, internet, lawn service, pool service and up to $200 of electric. This home can be rented with a 3 night min @ $300 per night and weekly @ $1,100. Monthly and Long Term available. Don't miss out - call our office at 352-795-0782 today to see!",,"Other-See Remarks","Other-See Remarks",No,"Call Office/Agent",3656,W,Bayshore,11900,"Dixie Shores",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1980,
.3,,Yes,"- Active",,,No,0,2,3,"Crystal River","Other-See Remarks",,,,Yes,,"Other-See Remarks",,"Other-See Remarks","Other-See Remarks",,No,,"PALM SPGS VILLAS UNREC SUB LOT 7 COMM SE COR SEC 29-18-17 RUN S 89DEG 33M 40S W AL S LN SD SEC 29 75.00FT TH N AL W R/W LN CR 160.0FT CONCRETE MONU PO",No,27552790502,27552790,2013-06-01,502,,16,2755,279,703475,Active,2500,"Crystal River",2013-06-12T18:35:37,,,,Yes,"- Active",No,13,2013-06-12T18:35:37,"Other-See Remarks",Yes,34429,,Rental,"Beautiful 3 bedroom, 2 bath WATERFRONT home with POOL! Home is fully furnished and price includes cable, lawn service, pool service, trash, electric, cable, water and electric. Home is in a wonderful neighborhood located near area amenities including the beach, parks, hiking, biking and more! Waterfront homes with pools are hard to come by, call to reserve today",,"Other-See Remarks","Other-See Remarks",No,"Call Office/Agent",3383,N,"Palm Springs Terrace",1030,"Palm Springs",,,,,,,No,No,No,"Other - See Remarks","Other-See Remarks",,Yes,1983,
