AcresTotal,Age,AgentIDX,AgentStatus,AnnInsurance,AnnMgmtExpenses,AnnualExpenses,AnnualTaxes,AnnualUtilities,ApxLandSqft,ApxLotSize,ApxNetLeaseableSqft,AssetSales,AssociationFee,AVMYN,BathsHalf,BathsTotal,Bedrooms,CapRatePercent,City,CompassSuffix,ConstAndFoundation,County,CrossStreetName,CurrentBldgUse,DateChange,Directions,DisplayFlagAddress,DisplayFlagListing,ElementarySchool,EnergyFeatures,ExteriorFeatures,FloodPlainYNU,Floor,GrossIncome,HeatAndCool,HighSchool,HOACOAYN,HomesteadYN,InteriorFeatures,LeaseYN,LegalDescription,LenderOwnedYN,ListAgentAgentID,ListAgentOfficeID,ListDate,ListingAgentID,ListingAgentName,ListingArea,ListingBoardID,ListingFirmID,ListingID,ListingOfficeID,ListingStatus,ListingType,ListPrice,LotDescription,LotDimensions,MiddleSchool,ModificationTimestamp,MonthlyDuesDol,NetIncome,NumOfLoadingDocks,OccupancyDesc,OccupantName,OfficeIDX,OfficeStatus,OtherExpenses,OwnerAgentYN,ParcelNumber,Parking,ParkingTotal,PhotoCount,PhotoModificationTimestamp,PoolPresent,Possession,PostalCode,PropertySubType,PropertyType,PublicRemarks,Rails,RearExposureCode,RoadType,Roof,SewerAndWater,ShortSaleYN,Showing,SpecialInfo,SqFtTotal,StateOrProvince,Stories,StreetDirPrefix,StreetName,StreetNumber,Subdivision,TaxAmount,TaxID,TaxRange,TaxSectionCode,TaxTownship,TaxYear,TermsAvailable,TotalUnits,UnitNumber,VarDualRateCommYN,VirtualTourURL,VirtualTourYN,VOWAVMYN,VOWCommentsYN,WaterFrontage,WaterFrontPresent,WaterType,YearBuilt,Zoning
1.18,,Yes,"- Active",,,,,,51369,91x563,1296,"Real Estate",,No,,,,0,Homosassa,,"Concrete Block,Foundation - Slab",,,Automotive,,"US 19 just north of Nissa Dealership",,Yes,,,"Fence - Chain,Shed/Utility Bldg,Window - Sgl. Hung,Workshop",No,"Ceramic Tile,Concrete",,"Cool - Central Air,Cool - Wall/Window",,No,No,"200+ Amps,220 Voltage,Ceiling - 8ft,Elec - Single Phase",,"Crytal Acres lot 7 & S 25' of lot 6, blk 1",No,27550863312,27550863,2011-12-06,312,,23,2755,086,352593,3,Active,"Excl. Right to Sell",199000,"Acreage,Rectangle",91x563,,2013-06-05T18:09:23,,,,Owner,,Yes,"- Active",,No,1117071,"Drive - Paved,Drive - Private,Paved Area,Storage",,12,2013-05-28T13:23:33,,"At Close",34448,,Commercial,"Excellent commercial site on US 19 just north of new Nissan Dealership! Totally remodeled showroom, 2 large workshops & storage sheds with power and A/C. Six stall metal carport, fencing, excellent site for auto sales or repairs or any commercial use.",,E,Federal,"Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Public",No,"Call List Agent,Owner Occupied","Brighthouse Cable,Sold As Is,Withlacooche Electric",1296,FL,1,S,"Suncoast Blvd",829,"Crystal Acres",3019,,17,10,19,2011,"Cash,Conventional",,,No,,,,,,No,,1967,
.21,,Yes,"- Active",,,,,,9360,90x95,3850,"Real Estate",0,No,,,,0,"Crystal River",,"Concrete Blk/Stucco,Foundation - Slab",,"Suncoast Blvd/Hwy 19","Office Building,Professional,Vacant",2012-11-09,"US 19 to W Ft Island Trl to L at Plantation Village to last building on right side of complex.",,Yes,,,"Landscape - Partial",Yes,Concrete,,"Cool - Central Air,Heat - Central Electirc",,Yes,No,"Ceiling - Standard,Counters - Laminate,Elec - Single Phase",,"Plantation Village unrec sub lot A-9 plus undivided interest in A-12",No,27550863312,27550863,2011-10-07,312,,17,2755,086,351593,3,Active,"Excl. Right to Sell",199000,Flat,90x95,,2013-05-28T13:24:25,207,,,Vacant,,Yes,"- Active",,No,2264080,"Drive - Blacktop,Paved Area,Shared Parking",,11,2011-10-07T19:06:24,,"At Close",34429,,Commercial,"Large office building in Platation Village - an enclave of medical and service buildings. Close to everything, 3 units - 1280 sq ft each. Roof in 2004. City water, septic, never flooded.  Could not be replaced at this price! Previously listed at $449,000!  OWNER WILL FINANCE W/25% DOWN, BALANCE 25 YRS, AMORTIZATION W/5 YEAR BALLOON, RATE NEGOTIABLE W/ACCEPTABLE CREDIT REPORT.",,W,State,"Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Public",No,"Call List Office,Lockbox Call,Vacant","Flood Insurance,Progress Energy,Sold As Is",4330,FL,1,W,"Ft. Island Trail",9030,"Not on List",3016,,17,28,18,2010,"Cash,Conventional",3,,No,,,,,,No,,1981,
1.24,,Yes,"- Active",3100,,,,,59100,"100x341 & 100x200",9016,"Real Estate",,No,,,,6,Lecanto,,"Steel,Stone,Foundation - Slab",,,"Office Building,Professional,Strip Mall",,"44 to Lecanto across from 7 Rivers Presbyterian Church",,Yes,,,"Entry - Ground Level",No,"Carpet,Vinyl Tile,Wood",,"Cool - Central Electric,Heat - Heat Pump",,No,No,"200+ Amps,220 Voltage,Ceiling - Beamed,Elec - Single Phase,Fire Sprklr - None",,"Lecanto Acres unit 2, lots 94, 95 & 127 (lengthy metes & bounds)",No,27550863312,27550863,2011-09-26,312,,23,2755,086,351503,3,Active,"Excl. Right to Sell",695000,"2+ Lots","100x341 & 100x200",,2013-03-07T15:17:35,,,,Tenant,,Yes,"- Active",,No,3384944,"Drive - Paved",41,16,2011-10-05T19:15:06,,"At Close",34461,,Commercial,"Conard Plaza - 2007 built strip center in Lecanto across from 7 Rivers Presbyterian Church. 6 units, 9016 sq ft of leasable space, county water & sewer, extra 100x200 lot for DRA. Standing seam metal roof, no screws, 41 parking spaces, insured for $900,000 cost replacement.",,,County,Metal,"Sewer - Public,Water - Public",No,"Call List Agent,No Sign","Sold As Is",9016,FL,1,W,"Gulf to Lake Hwy",4214,"Lecanto Acres",6644,,18,5,19,2010,"Cash,Conventional",6,,No,,,,,,No,,2007,
.15,,Yes,"- Active",,,,,,8178,6577,3600,"Real Estate",0,No,,,,0,"Crystal River",,"Concrete Blk/Stucco,Foundation - Slab",,"US 19",Professional,2012-11-09,"US 19 to W Ft Island Trl to L at Plantation Village",,Yes,,,"Entry - Ground Level",Yes,Carpet,,"Cool - Central Electric,Cool - Multi Unit",,Yes,No,"Ceiling - 8ft,Counters - Laminate",,"PLANTATION VLG UNREC SUB UNIT A-8 DESC IN OR BK 770 PG 1391 & OR BK 1059 PG 689",No,27550863312,27550863,2012-09-11,312,,17,2755,086,357597,3,Active,"Excl. Right to Sell",229900,Flat,6577,,2013-03-05T13:13:54,207,,,Tenant,,Yes,"- Active",,No,1955726,"Drive - Paved,Drive - Shared,Shared Parking",,6,2012-10-25T13:36:36,,"At Close,Subject to Lease",34429,,Commercial,"Spacious 3 unit professional office building in Plantation Village... just off US 19 in Crystal River. 3600 total square feet of air conditioned space. Never flooded, city water & septic, 3 office sizes are: 8A - 1580 sq ft, 8B - 1035 sq ft, 8C - 1035 sq ft.  Could not be duplicated at this price.  OWNER WILL FINANCE W/25% DOWN, BALANCE 25 YRS, AMORTIZATION W/5 YEAR BALLOON, RATE NEGOTIABLE W/ACCEPTABLE CREDIT REPORT.",,S,Paved,"Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Public",No,"Appointment Only,Key in Office","Brighthouse Cable,Flood Insurance,HOA Disclosure,Title Insurance",4200,FL,1,W,"Fort Island",9030,"Not on List",2891,,17,28,18,2011,"Cash,Conventional,Other See Remarks",3,,No,,,,,,No,,1980,
.96,,Yes,"- Active",,,,,,42000,"105x300 L shape irregular",3660,"Real Estate",,No,,,,0,"Crystal River",,"Concrete Block,Steel,Foundation - Slab",,"Gulf to Lakes Hwy","Automotive,Light Industrial",,"US 19 to R on Gulf to Lakes to L on NE 6th Ave to property on right.",,Yes,,,"Fenced Yard",No,Concrete,,"Cool - Wall/Window",,No,No,"110 Voltage,220 Voltage,Ceiling - 8ft,Ceiling - Vaulted,Elec - Single Phase",,"KNIGHTS ADD TO CRYSTAL RIVER PB 1 PG 28 LOTS 25, 26, 27 & 46",No,27550863312,27550863,2013-03-04,312,,16,2755,086,701470,3,Active,"Excl. Right to Sell",249000,"2+ Lots,Acreage","105x300 L shape irregular",,2013-03-05T19:39:04,,,,Tenant,,Yes,"- Active",,No,3457820,"Drive - Gravel,RV Parking",,19,2013-03-05T19:39:04,,"At Close",34428,,Commercial,"Prime location in city of Crystal River on NE 6th Ave. 1 acre zoned industrial, building in front is CBS totally remodeled w/air conditioned office, tile flooring, bathroom, over $30,000 worth of fill on property. 2nd building is metal w/concrete floor, 30x66 with power, water & bathroom, ideal for toy barn. Front building leased for $1,200 month (includes utilities). Tenant is boat mechanic.",,,"County,Paved",Metal,"Sewer - Public,Water - Private Well",No,"Call List Office,Lockbox Call,Other See Remarks","Progress Energy,Sold As Is",3660,FL,1,NE,"6th Ave.",711,"Knights Addition to C/R",3043,,,,,2012,"Cash,Conventional",2,,No,,,,,,No,,1966,
2.2,,Yes,"- Active",,,,,,97223,119x817,900,"Real Estate",,No,,,,0,Lecanto,,"Concrete Blk/Stucco,Foundation - Slab",,"Gulf to Lake","Office,Other See Remarks",,"US 19 to E Gulf to Lakes to just past 7 Rivers Presbyterian Church complex to mobile home sales on corner of Gulf to Lakes and Granny.",,Yes,,,"Entry - Ground Level,Fence - Chain",No,Vinyl,,"Cool - Central Electric,Heat - Central Electirc",,No,No,"Ceiling - 8ft",,"TRACTS E, F & G OF AN UNREC SUB IN SEC 5-19-18 DESC AS: TRAC T E COM AT NE COR OF SEC 5-19-18 TH S 0DEG 22M 23S E AL EL N OF SD SEC 5 1372.11 FT TO PO",No,27550863312,27550863,2013-04-24,312,,23,2755,086,702570,3,Active,"Excl. Right to Sell",275000,Acreage,119x817,,2013-04-26T14:50:37,,,,Owner,,Yes,"- Active",,No,2414499,Storage,,11,2013-04-26T14:50:37,,"At Close",34461,,Commercial,"Highly visable commercial location just east of 7 Rivers Presbyterian Church.  Current site of mobile home sales business. 900 sq ft CBS building with restrooms and offices. 18x28 storage garage. County water, private well. 119x817 with high elevation. Owner willing to lease!",,,Paved,"Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Private Well,Water - Public",No,"Call List Agent","Title Insurance",900,FL,1,S,"Granny Pt",293,,2915,,,,,2012,"Cash,Conventional",,,No,,,,,,No,,1986,
1.33,,Yes,"- Active",,,,,,58000,400x145,1409,"Real Estate",,No,,,,0,Homosassa,,"Concrete Blk/Stucco,Foundation - Slab",,"US 19","Hair/Nail Salon,Other See Remarks",2013-04-30,"US 19 S to L on Homosasas Trail to corner of Homosassa Trail and Westmoreland. Includes entire fenced area and beauty shop.",,Yes,,,"Fenced Yard",No,Concrete,9960,"Cool - Central Electric,Heat - Central Electirc",,No,No,"Ceiling - 8ft",,"VILLA TER UNIT 8 OF HOMOSASSA PB 1 PG 49 LOT 13 BLK 320",No,27550863312,27550863,2013-04-24,312,,23,2755,086,702629,3,Active,"Excl. Right to Sell",199000,"2+ Lots,Corner Lot,Rectangle",400x145,,2013-04-30T13:34:37,,,0,Tenant,,Yes,"- Active",,No,1130760,"Drive - Blacktop",,6,2013-04-30T13:31:56,,"At Close",34448,,Commercial,"Multi purpose 1.33 acres at corner of Homosassa Trail and Westmoreland. 300x145 fenced area used for mobile home storage, next lot has 1,409 sq ft beauty shop, 3 alternate keys, all zoned GNC. High and dry, total parcel 400x145 - just $199,000",No,,County,"Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Public",No,"Call List Agent","Owner Owns Property,Sold As Is",1409,FL,1,W,"Homosassa Trail",7075,"Villa Terrace",2919,,,,,2012,"Cash,Conventional",,,No,,,,,,No,,1971,
1.5,,Yes,"- Active",,,,,,66800,167x400,1200,"Real Estate",,No,,,,0,"Crystal River",,"Concrete Block,Wood Siding",,,Vacant,,"US 19 across from Wendy's",,Yes,,,"Fence - Chain",No,Concrete,,"Cool - Central Electric",,No,No,"Ceiling - Standard",,"COM AT NW COR OF SW1/4 OF SW1/4, TH S 0 DEG 17M 30S W AL W B DRY OF SW1/4 OF SW1/4 OF SW1/4 35.83 FT, TH N 88 DEG 45M E 1 01.75 FT TO PT ON E BDRY OF",No,27550863312,27550863,2013-05-22,312,,16,2755,086,703133,3,Active,"Excl. Right to Sell",450000,Acreage,167x400,,2013-05-23T15:23:08,,,,Vacant,,Yes,"- Active",,No,1078245,"Drive - Paved",,10,2013-05-23T15:23:08,,"At Close",34429,,Commercial,"Former site of Mystic Gas Station - tanks and pumps removed. High & dry, city water & sewer, cleared and fenced. 167x400 - 1.5 acres. Perfect site for restaurant, motel or any retail store. Zoned high intensity commercial. Owner will land lease for $6,000/monthly. 1200 sq ft building on site.",,E,Federal,Metal,"Sewer - Public,Water - Public",No,"Go There","Sold As Is",1200,FL,1,SE,"US Highway 19",59,,6268,,,,,2012,"Cash,Conventional,Other See Remarks",,,No,,,,,,No,,1950,
1.97,,Yes,"- Active",,,,,,87120,"2 acres",2100,"Bus. & R.E.",,No,,,,0,Inverness,,"Concrete Blk/Stucco,Frame",,,Automotive,2013-02-01,"581 to Ella Ave",,Yes,,,"Entry - Ground Level,Fence - Partial",No,Concrete,,"Cool - Wall/Window",,No,Yes,"440 Voltage",,"Metes & Bounds  See Alt Key 3265471",No,2755047060,27550470,2013-01-29,60,,07,2755,047,700641,0,Active,"Excl. Right to Sell",250000,"Acreage,Corner Lot","2 acres",,2013-02-01T17:22:26,,,,Owner,,Yes,"- Active",,No,3265471,"Drive - Gravel",,6,2013-02-01T17:02:54,,"At Close",34452,,Commercial,"Approx 1.97 acres across from Middle School.This is a very nice corner lot with great potential.Has a Single Wide Mobile Home. Close to The Rails to Trails.Garage is working and has a very loyal clientele",,,"County,Paved","Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Call List Agent,Call List Office","Owner Owns Property,Seller Prop Disclosure,Sold As Is,Title Insurance,Warranty - None",2100,FL,1,,"Ella Ave",517,,1134.08,,,,,2012,"Cash,Conventional,Owner Finance",,,No,,No,,,,No,,1985,
1,,Yes,"- Active",,,,,,46356,,4240,"Real Estate",,No,,,,0,"Crystal River",,"Concrete Blk/Stucco,Foundation - Slab",,,Manufacturing,2013-06-06,"19 SOUTH TO FORT ISLAND TRAIL RIGHT TO SE CUTLER SPUR BLVD RIGHT TO LOCATION ON RIGHT.",,Yes,,,"Shed/Utility Bldg",Unverified,"Other See Remarks",,"Cool - Central Air,Heat - Central Electirc",,No,,"Ceiling - Vaulted",,"LENGTHY. PLEASE SEE PROPERTY APPRAISER RECORDS",No,275527903788,27552790,2013-06-04,3788,,15,2755,279,703369,0,Active,"Excl. Right to Sell",695000,"Acreage,Flat",,,2013-06-10T16:22:53,,,,Tenant,,Yes,"- Active",,No,2310235,"Drive - Blacktop,Paved Area",,23,2013-06-10T16:22:53,,"At Close",34429,,Commercial,"PRIME COMMERCIAL PROPERTY ACROSS THE STREET FROM THE NEW ENTRANCE OF THREE SISTER SPRINGS WITH 4240 SQ FT OF LEASABLE SPACE AND PLENTY OF PARKING.  HAS 2 LOADING DOCKS AND UTILITY BUILDING. BUILDING HAS NEWER A/C AND HOT WATER HEATER. ALSO ROOM FOR ANOTHER BUILDING. CURRENTLY HAS A LONG TERM TENANT.  GREAT BUSINESS LOCATION.  ZONED C-1.",,,"County,Paved","Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"24 Hour Notice,Appointment Only,Call List Agent","Seller Prop Disclosure,Warranty - None",4240,FL,1,SE,"CUTLER SPUR BLVD",601,,5191.2,,,,,2012,"Cash,Conventional",,,No,,,,,,No,,1985,
2.55,,Yes,"- Active",,,,,,3,,5643,"Real Estate",,No,,,,0,"Crystal River",,"Concrete Blk/Stucco",,,"Professional,Retail",2013-05-22,"19 NORTH TO 44 EAST.  PROPERTY ON RIGHT BESIDE CHURCH.  SEE SIGN",,Yes,,,"Barn/Stalls,Entry - Ground Level,Fence - Chain,Workshop",No,Concrete,,"Cool - Wall/Window,Heat - Central Electirc",,No,,"Ceiling - Standard",,MAYFAIR,No,275527903788,27552790,2013-03-26,3788,,23,2755,279,701947,0,Active,"Excl. Right to Sell",750000,"Acreage,Flat,Non-Waterfront,Rectangle",,,2013-05-31T18:06:03,,,,Owner,,Yes,"- Active",,No,1112478,"Paved Area,Unpaved Area",,12,2013-05-31T18:06:03,,"At Close",34429,,Commercial,"PRIME COMMERCIAL PROPERTY LOCATED ON GULF TO LAKE HIGHWAY IN CRYSTAL RIVER.  PROPERTY HAS 3 BUILDINGS THAT ARE OPERATING BUSINESSES. NEW ROOF INSTALLED ON ONE OF THE BUILDINGS IN 2012. THERE ARE 2 LOTS INCLUDED IN THIS ONE GREAT PRICE.  SEE ALTKEY#1112486 FOR DETAILS ON THE SECOND LOT.",,,State,"Asphalt/Fiberglass Shgl","Sewer - Septic Private,Water - Private Well",No,"24 Hour Notice,Call List Agent","Brighthouse Cable,Owner Owns Property",4730,FL,1,W,"GULF TO LAKE HIGHWAY",6532,,8190.19,,,,,2012,"Cash,Conventional",,,No,,,,,,No,,1958,
1.5,,Yes,"- Active",,,,,,70000,"1.5 acres",2400,Business,,No,,,,0,Homosassa,,Steel,,,Vacant,2013-03-06,"From Homosassa on #19 go East on Grover Cleveland Blvd to property on right.",,Yes,,,"Fence - Partial",No,Concrete,,"Cool - None",,No,No,"220 Voltage,Ceiling - 16ft",,"Homosassa unit #1 lots 1 - 18  blk 53 and half of vacated alley",No,275595703491,27559570,2013-01-24,3491,,21,2755,957,700536,0,Active,"Excl. Right to Sell",200000,"2+ Lots,Corner Lot,Flat,Rectangle","1.5 acres",,2013-03-06T11:18:00,,,,Vacant,,Yes,"- Active",,No,1124786,"Drive - Blacktop,Drive - Circular,Truck Parking",50,6,2013-01-31T12:57:40,,"At Close",34446,,Commercial,"LEASE OPTION WILL BE CONSIDERED OWNER WANTS IT DONE. Commercial site on busy highway 2 blocks from hwy #19 with 40 x 60 steel building, concrete floor and office inside.  One and half acres with plenty of parking for equipment and storage.  Many business and commercial possibilities and owner will finance at 5 per cent interest.  275 foot frontage, 12 foot garage doors, air compressor included, loft above office, maintenance/lubrication ramp and immediate occupancy with very quick closing.  Make an offer.  Lease with option to buy now possible.",,,Paved,Metal,"Sewer - Septic Private,Water - Public",No,"Call List Agent,Go There","No Cable TV",2400,FL,1,W,"Grover Cleveland",8234,,4524,,,,,2012,"Cash,Conventional,Lease Option/Purchase,Owner Finance",,,No,,,,,,No,,1973,
.05,,Yes,"- Active",,,,,,2500,50x50,624,"Real Estate",0,No,,,,0,"Crystal River",,"Concrete Blk/Stucco",,"Hwy 19","Other See Remarks",2013-04-17,"From US Hwy 19 in Crystal River, turn onto NE 3rd Ave straight through 4 way stop to property on left - #214.",,Yes,,"Attic Fan","Entry - 1st Upper,Landscape - Partial,Trees,Window - Sgl. Hung",Yes,"Carpet,Ceramic Tile",,"Cool - Central Air,Heat - Central Electirc",,No,No,"Ceiling - Standard,Counters - Laminate",,"BAYVIEW HOMES CO 1ST ADD TO CRYSTAL RIVER PB 1 PG 34 N1/2 OF LOT 79",No,275511501013,27551150,2012-12-18,1013,,16,2755,115,359710,0,Active,"Excl. Right to Sell",89999,Flat,50x50,,2013-06-02T23:10:27,0,,,Tenant,,Yes,"- Active",,No,1076561,"Parking Spaces",2,10,2013-01-24T19:03:59,,"At Close",34429,,Commercial,"CUTE COTTAGE UPDATED AND RENEWED - perfect building & location for your business. Stop paying rent and buy. Located in historic downtown Crystal River within 2 blocks of post office and in the immediate area for improvements by the City. Zoned commercial but last used as a residential rental (2 bed/1 bath). Great investment property. New roof & newly remodeled inside. Come take a look. You'll like what you see!",,E,Paved,"Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Call List Office,Lockbox Call,Vacant,Other See Remarks","Progress Energy",624,FL,1,NE,"3rd Ave",214,"Bayview Homes",682,,,,,2012,"Cash,Conventional",1,,No,,,,,,No,,1963,
.44,,Yes,"- Active",,,,,,19470,177x110x152x113,1376,"Bus. & R.E.",,No,,,,0,"Crystal River",,"Frame,Manuf/Modular,Wood Siding,Foundation - Raised,Foundation - Slab",,"Ozello Trail",Marina,2012-10-19,"Hwy 19 (Suncoast Blvd) go west on Ozello Trail to *Left on Waterman, Property on the right.",,Yes,,,"Entry - Ground Level,Fence - Wood,Fenced Yard,Outdoor Lighting,Shed/Utility Bldg",Yes,"Carpet,Ceramic Tile,Wood",,"Cool - Wall/Window",,No,Yes,"100 Amps,Ceiling - Standard,Counters - Laminate",,"WATERMANS UNREC SUB LOTS 26D, 26E (ZONED CLRM), & 26F (ZONED CLC)",No,275511501013,27551150,2012-10-03,1013,,18,2755,115,358284,0,Active,"Excl. Right to Sell",299000,"2+ Lots,Flat,Rectangle,Waterfront",177x110x152x113,,2013-05-08T12:54:25,,,0,Vacant,,Yes,"- Active",,No,1010314,"Boat Parking,Drive - Unpaved,Storage",8,18,2012-10-17T15:52:34,,"At Close",34429,,Commercial,"WATERFRONT MARINA located in Ozello. Bait & Tackle shop, boat & boat motor repair business with 280' on the water, 120' dock space, concrete boat ramp, boat dock. Also includes 23x27 shop, 16x56 bait shop, newer appliances, live bait salt water holding tank, orginally 12x56 M/H, 12x20 wood frame storage building, 2 septic tanks.  Zoned commercial (lot 26D & 26E) and residential (lot 26F). Near St. Martin River & minutes to the Gulf of Mexico.",No,W,"County,Paved","Asphalt/Fiberglass Shgl,Metal","Sewer - Septic Private,Water - Public",No,"Appointment Only,Call List Agent,Call List Office","Owner Owns Property,Sold As Is,Withlacooche Electric",1376,FL,1,S,"Waterman Drive",2156,Watermans,1390.89,,16,15,19,2011,"Cash,Conventional,Owner Finance",,,No,,,,,280,Yes,"Gulf Access,River Canal,Salt Water Canal",1974,
12.9,,Yes,"- Active",,,,,,561924,"342x243 (GNC Parcel Only)",11191,"Real Estate",,No,,,,0,Inverness,,"Aluminum Siding,Frame/Stucco,Steel",,,"Professional,Retail,Warehouse",2013-06-10,"From Downtown Inverness, Hwy 41 North, property on left side of highway adjacent to The Sportmen's Bowl.",,Yes,,,"Entry - Ground Level,Fence - Chain,Greenhouse,Trees,Workshop",Unverified,"Other See Remarks",,"Cool - Other",,No,No,"220 Voltage",,"Lengthy Metes & Bounds - Ref. AK#1726506",No,275508602119,27550860,2012-04-20,2119,,08,2755,086,355055,0,Active,"Excl. Right to Sell",480000,"Acreage,Flat,Irregular,Non-Waterfront,Wooded","342x243 (GNC Parcel Only)",,2013-06-11T02:19:40,,,0,Tenant,,Yes,"- Active",,No,1726506,"Drive - Paved,Drive - Unpaved,Parking Spaces",6,18,2012-04-21T22:53:51,,"At Close",34453,,Commercial,"Prime Commercial/Industrial Site with 342 ft frontage on high-traffic US Hwy 41; property comprises approx 12.9 Acres - 2 Acres GNC-Zoned and remaining 10.9 Acres Industrial-Zoned. Site Improvements incl: 4-unit commercial building (3 units rented) w/asphalt drive+parking, vacant 2-story c/blk-stucco home (1960), 2 workshops, a greenhouse & a 10-unit mini-storage (partially rented). Adjacent Bowling Alley+real estate also for sale (See MLS #357312). Adjacent 16.9 Acres at 110 N Florida Ave also available. Total 3 contiguous parcels, approx 30 acres, under $2 Million. Endless possibilities for development. Call List Agent for details.",No,W,"Federal,Paved","Other See Remarks","Sewer - Septic Private,Water - Private Well",No,"Appointment Only,Call List Agent,Call List Office","Appraisal,Sold As Is",11191,FL,1,N,"Florida Avenue",84,,4880,,20,06,19,2012,"Cash,Conventional",4,,No,,,,,,No,,1974,
.53,,Yes,"- Active",,,,,,23304,"184 x 129",0,"Real Estate",,No,,,,0,Inverness,W,"Concrete Blk/Stucco,Foundation - Slab",,"near Independence",Vacant,2013-04-04,"From Inverness, take SR 44 westbound. Subject is on east side of Shell station at corner with Independence.",,Yes,,,"Entry - Ground Level,Landscape - Partial,Window - Casement,Workshop",Unverified,"Concrete,Terrazzo,Vinyl Tile",,"Cool - Central Air,Heat - Central Electirc",,No,No,"220 Voltage,Ceiling - 16ft,Ceiling - Beamed,Ceiling - Standard,Ceiling - Vaulted",,"extensive legal, see Property Appraiser altkey 1688124",No,275505803521,27550580,2012-08-01,3521,,07,2755,058,356895,0,Active,"Excl. Right to Sell",290000,"Hilly,Mixed Topography","184 x 129",,2013-04-04T18:51:37,,,,Vacant,,Yes,"- Active",,No,1688124,"Drive - Blacktop,Drive - Circular,Drive - Paved,Paved Area,Private Lot,Unpaved Area",,4,2012-08-04T01:29:14,,"At Close",34453,,Commercial,"Great location on busy SR 44 across from new Walgreens. Building may be salvagable but seller assigns no value to it. Data on square footage of improvements and lot sizes and areas (if any), may have been obtained from Citrus Co. Prop. Appr. Website and it's accuracy is not guaranteed.",,N,"Paved,State","Asphalt/Fiberglass Shgl","Sewer - Public,Water - Public",No,"Go There,Vacant","Comcast Cable,Brighthouse Cable,High Speed Internet,Progress Energy,Sold As Is",2900,FL,1,,"Hwy 44",2608,,3630.82,,19E,12,19S,2012,Cash,,,No,,No,,,,No,,1970,
1.25,,Yes,"- Active",,,,,,1,165x330,0,"Real Estate",,,,,,0,Inglis,,"Concrete Block",,,"Other See Remarks",2013-04-09,"From Stop light at Highway 40 and 19 heading north. turn Left ( West ) onto Highway 40, see sign on Right.",No,Yes,,,"Entry - Ground Level,Landscape - Partial",Unverified,Concrete,,"Cool - Central Air,Heat - Central Electirc",,No,No,"Elec - 3 Phase",,"SEC: 34, TWP: 16, RNG: 16 LEG CASONS INGLIS ACRES UNIT 1 BLK A LOT 5 OR BOOK 1085 PAGE 426",No,275526831685,27552683,2012-09-13,1685,,25,2755,268,357654,3,Active,"Excl. Right to Sell",169000,"Acreage,Rectangle",165x330,,2013-05-03T18:37:45,,,,Owner,,Yes,"- Active",,No,12475,"Drive - Paved,Paved Area",,11,2013-03-13T18:24:37,,"At Close",34449,,Commercial,"Self service Carwash with 4 stalls - 1 Tall Bay for Rv's, Boats, etc, coin changer, 4 vacuums. Includes a 2BR/2BA doublewide mobile home with 828 sqft. Living space, that could serve as additional income for the property as a rental or as a managers residence.  ",,N,"Paved,State",Metal,"Sewer - Septic Private,Water - Public",No,"Call List Agent,Go There","Sold As Is",2166,FL,1,,"Highway 40",425,"Cason Inglis Acres",2508.38,,16,34,16,2012,"Cash,Conventional",2,,No,,,No,No,0,No,,1990,
.34,,Yes,"- Active",,,,,,14878,"86 X 173",0,Business,,No,,,,0,Dunnellon,,"Concrete Blk/Stucco",,,Retail,2013-05-29,"South on Suncoast Blvd to Right at Citrus Avenue to Right on 488 (W Dunnellon Rd.) to Left on N Florida Ave, Continue to follow FL-45 N/US-41 N. Property is on the right.",,Yes,,,"Entry - Ground Level",Unverified,Concrete,,"Cool - Other",,No,No,"Ceiling - Standard",,"COM AT THE SE COR OF NE 1/4 OF SEC 26 TH N 58.08 FT TH N 83-43-24 W 458.55 FT TO THE POB TH S 20-08-50 W 109.38 FT TH N 70-15-24 W 189.49 FT TO A PT",No,275526831685,27552683,2013-05-29,1685,,28,2755,268,703202,3,Active,"Excl. Right to Sell",350000,"Other See Remarks","86 X 173",,2013-05-29T15:53:06,,,,Owner,xx,Yes,"- Active",,No,33639-0,"Drive - Paved",,3,2013-05-29T15:37:38,,"At Close",34433,,Commercial,"If you are looking for an established business that makes money on its own, even when you are not there, this is it.  This highly visible car wash is establish and priced less than what it would cost to build not counting the land.   Possible owner financing.",No,,Paved,"Asphalt/Fiberglass Shgl","Water - Public",No,"Call List Agent","Other See Remarks",2904,FL,1,N,"Williams Street",11911,,3166.29,,18,26,16,2012,"Cash,Conventional",,,No,,,,,0,No,,2002,
